Ticket_ID,Date,User_Type,Unit_Dept,Issue_Category,Issue_Description,Priority,Response_Time_Hrs,Resolution_Time_Hrs,Status,Resolved,Response_SLA,Is_Delayed,Resolution_Category
HD0167,2026-02-12,Postgraduate Student,College of Veterinary Medicine,Portal,Portal page not loading,Medium,2.71,24.92,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0168,2026-03-09,Staff,College of Food Science,Software/MIS,Application error during transaction,Medium,4.45,6.11,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0169,2026-03-18,Postgraduate Student,College of Plant Science,Others,Other ICT service issue,Low,2.41,1.76,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0170,2026-01-21,Postgraduate Student,College of Environmental Resources,Hardware,Desktop computer not starting,High,1.88,6.74,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0171,2026-06-03,Staff,College of Food Science,Email,Mailbox access problem,High,0.95,6.83,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0172,2026-01-26,Staff,College of Food Science,Clearance,Clearance submission error,Low,4.35,2.04,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0173,2026-05-15,Postgraduate Student,College of Veterinary Medicine,Payment/Invoice,Outstanding invoice still showing after payment,Low,2.93,3.49,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0174,2026-02-13,Staff,College of Engineering,Payment/Invoice,Receipt cannot be generated,Low,1.71,1.2,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0175,2026-01-14,Student,College of Plant Science,Software/MIS,Application access problem,High,1.01,7.45,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0176,2026-08-05,Postgraduate Student,Bursary,Website/Multimedia,Website page not displaying correctly,Medium,3.08,10.36,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0177,2026-04-28,Postgraduate Student,College of Computing Sciences,ID Card,Unable to process ID card,Medium,4.17,3.86,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0178,2026-07-24,Staff,Library,Hardware,Computer system performance is slow,Low,3.76,2.17,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0179,2026-03-18,Staff,College of Veterinary Medicine,Software/MIS,Application access problem,Critical,0.79,27.12,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0180,2026-06-18,Postgraduate Student,Postgraduate School,Registration,Registration page not responding,Low,4.54,1.65,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0181,2026-03-15,Student,College of Plant Science,Payment/Invoice,Payment not reflecting on portal,Low,5.06,8.12,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0182,2026-08-31,Staff,Academic Planning,Email,Unable to access staff email,High,1.41,7.57,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0183,2026-03-27,Postgraduate Student,College of Engineering,Portal,Portal page not loading,Medium,3.8,41.25,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0184,2026-07-04,Student,Student Affairs,ID Card,Unable to process ID card,Medium,2.94,4.31,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0185,2026-05-20,Student,Library,ID Card,ID card details incorrect,Medium,2.74,2.59,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0186,2026-07-27,Student,Student Affairs,Hardware,Desktop computer not starting,Low,3.85,5.76,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0187,2026-03-07,Staff,College of Environmental Resources,Portal,Programme information not updating,Low,8.44,4.04,Closed,Yes,Beyond 8 Hours,No,Fast (< 8 hrs)
HD0188,2026-01-26,Student,Library,Payment/Invoice,Outstanding invoice still showing after payment,Medium,8.5,3.34,Closed,Yes,Beyond 8 Hours,No,Fast (< 8 hrs)
HD0189,2026-05-05,Student,Postgraduate School,Payment/Invoice,Outstanding invoice still showing after payment,Medium,4.2,6.2,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0190,2026-07-11,Student,College of Computing Sciences,Payment/Invoice,Payment confirmation delayed,High,5.0,4.14,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0191,2026-04-01,Postgraduate Student,College of Food Science,Portal,Student profile not displaying correctly,Low,2.39,13.35,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0192,2026-01-21,Staff,College of Food Science,Hardware,Scanner malfunction,Medium,0.81,5.43,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0193,2026-03-25,Student,College of Computing Sciences,Student Information,Student record not displaying,High,0.99,5.57,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0194,2026-03-19,Postgraduate Student,College of Animal Science,Others,Request for technical assistance,Low,4.59,7.34,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0195,2026-08-20,Postgraduate Student,College of Engineering,Hardware,Keyboard or mouse not working,Low,6.41,2.86,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0196,2026-07-28,Student,Bursary,Registration,Course allocation not updating,Medium,1.59,7.15,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0197,2026-02-20,Postgraduate Student,College of Agricultural Management,Software/MIS,Application error during transaction,Medium,1.26,22.11,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0198,2026-02-16,Student,Student Affairs,Payment/Invoice,Payment confirmation delayed,Medium,4.97,4.05,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0199,2026-06-17,Postgraduate Student,Academic Planning,Payment/Invoice,Payment confirmation delayed,Medium,1.01,45.81,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0200,2026-02-14,Postgraduate Student,College of Agricultural Management,Portal,Student profile not displaying correctly,Medium,2.44,12.0,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0201,2026-04-13,Student,Registry,ID Card,ID card details incorrect,High,0.62,7.36,In Progress,No,Within 8 Hours,No,Fast (< 8 hrs)
HD0202,2026-04-08,Staff,College of Engineering,Internet/Network,Network connection unavailable,Medium,2.61,14.77,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0203,2026-05-28,Staff,College of Computing Sciences,ID Card,ID card details incorrect,Medium,2.03,6.41,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0204,2026-08-27,Postgraduate Student,College of Animal Science,Hardware,Printer not responding,Critical,0.44,14.41,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0205,2026-01-27,Student,College of Animal Science,Portal,Portal page not loading,High,1.6,46.64,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0206,2026-03-22,Postgraduate Student,College of Engineering,Others,General ICT support request,Medium,3.85,35.9,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0207,2026-07-26,Student,College of Engineering,Clearance,Clearance process showing incomplete,Low,1.63,6.5,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0208,2026-05-26,Student,College of Engineering,Hardware,Computer system performance is slow,Medium,3.12,4.7,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0209,2026-05-19,Student,Student Affairs,Website/Multimedia,Multimedia support request,Critical,1.88,7.01,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0210,2026-04-03,Student,College of Engineering,Registration,Course registration error,Medium,4.97,5.43,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0211,2026-04-25,Postgraduate Student,College of Veterinary Medicine,Software/MIS,Application access problem,Low,11.8,11.48,Closed,Yes,Beyond 8 Hours,No,Medium (8 hrs - 1 week)
HD0212,2026-09-01,Student,College of Plant Science,Website/Multimedia,Website content correction request,Medium,2.27,7.47,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0213,2026-05-26,Postgraduate Student,ICTREC,Payment/Invoice,Payment not reflecting on portal,Low,5.42,7.3,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0214,2026-02-17,Student,College of Plant Science,ID Card,ID card details incorrect,Medium,1.53,6.68,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0215,2026-01-25,Student,Academic Planning,Admission,Admission portal error,Low,6.8,0.85,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0216,2026-05-12,Student,Library,ID Card,ID card printing problem,Medium,1.36,28.91,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0217,2026-04-27,Student,Postgraduate School,ID Card,Unable to process ID card,Low,3.28,8.0,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0218,2026-04-17,Student,College of Engineering,Registration,Unable to submit course registration,High,3.43,6.94,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0219,2026-02-10,Student,Library,Payment/Invoice,Receipt cannot be generated,Low,9.31,1.22,Closed,Yes,Beyond 8 Hours,No,Fast (< 8 hrs)
HD0220,2026-08-01,Postgraduate Student,College of Agricultural Management,Payment/Invoice,Invoice not generated,Critical,0.31,8.68,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0221,2026-08-18,Staff,Bursary,Email,Email messages not being received,Critical,0.99,7.34,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0222,2026-04-05,Staff,College of Plant Science,Portal,Portal session keeps expiring,Critical,0.26,6.13,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0223,2026-02-08,Postgraduate Student,College of Veterinary Medicine,Payment/Invoice,Receipt cannot be generated,Low,1.85,36.56,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0224,2026-04-07,Staff,College of Computing Sciences,Hardware,Scanner malfunction,Low,4.65,2.26,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0225,2026-06-28,Postgraduate Student,College of Animal Science,Portal,Programme information not updating,Low,2.86,1.09,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0226,2026-09-02,Student,College of Agricultural Management,Portal,Student profile not displaying correctly,High,1.45,9.41,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0227,2026-03-31,Postgraduate Student,College of Plant Science,Portal,Portal session keeps expiring,Medium,1.51,27.81,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0228,2026-04-15,Postgraduate Student,Bursary,Portal,Student profile not displaying correctly,High,1.12,37.05,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0229,2026-05-06,Student,College of Plant Science,Payment/Invoice,Outstanding invoice still showing after payment,Medium,2.45,21.47,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0230,2026-06-21,Student,Postgraduate School,Admission,Admission status not displaying,Medium,1.92,38.6,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0231,2026-07-22,Staff,College of Animal Science,Email,Unable to access staff email,Medium,7.66,12.21,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0232,2026-04-22,Student,College of Food Science,Admission,Admission status not displaying,Low,2.59,3.06,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0233,2026-01-20,Student,College of Environmental Resources,Admission,O'Level verification problem,High,1.41,5.39,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0234,2026-02-18,Staff,College of Veterinary Medicine,Email,Email messages not being received,Medium,3.64,7.5,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0235,2026-03-09,Staff,Postgraduate School,Email,Password reset required for email,Medium,1.94,3.15,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0236,2026-05-07,Postgraduate Student,College of Food Science,Payment/Invoice,Invoice not generated,Medium,2.23,1.23,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0237,2026-04-16,Student,Registry,Student Information,Student information request,Medium,1.13,46.09,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0238,2026-06-21,Staff,College of Computing Sciences,Software/MIS,Software installation request,High,3.71,31.36,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0239,2026-06-11,Postgraduate Student,Student Affairs,Registration,Registration page not responding,Medium,3.57,16.05,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0240,2026-07-07,Postgraduate Student,Library,Portal,Portal page not loading,Low,20.66,4.49,Closed,Yes,Beyond 8 Hours,No,Fast (< 8 hrs)
HD0241,2026-08-17,Student,College of Plant Science,Admission,Admission application issue,Medium,2.42,2.63,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0242,2026-05-21,Student,College of Veterinary Medicine,ID Card,Lost ID card replacement request,High,0.62,41.71,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0243,2026-07-25,Student,College of Agricultural Management,Portal,Portal page not loading,High,0.99,8.2,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0244,2026-03-18,Postgraduate Student,College of Computing Sciences,Student Information,Matriculation information issue,Medium,1.82,8.77,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0245,2026-02-02,Student,Bursary,ID Card,ID card printing problem,Medium,6.58,7.59,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0246,2026-05-30,Student,Bursary,Admission,Admission status not displaying,High,1.49,16.28,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0247,2026-01-27,Postgraduate Student,ICTREC,Internet/Network,Slow Internet connection,High,1.57,4.44,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0248,2026-04-29,Student,College of Animal Science,Portal,Student profile not displaying correctly,High,3.47,46.07,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0249,2026-03-24,Student,Student Affairs,Payment/Invoice,Payment confirmation delayed,Medium,1.47,11.16,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0250,2026-04-09,Postgraduate Student,College of Food Science,Admission,Admission status not displaying,Medium,1.61,1.99,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0251,2026-04-10,Student,College of Animal Science,Internet/Network,Cannot access campus Internet,Medium,4.33,21.14,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0252,2026-06-06,Student,Postgraduate School,Email,Unable to access staff email,High,0.7,9.44,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0253,2026-08-24,Student,Academic Planning,Registration,Registration page not responding,Low,2.66,2.06,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0254,2026-07-07,Staff,ICTREC,Email,Mailbox access problem,Medium,1.88,2.61,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0255,2026-05-01,Postgraduate Student,College of Animal Science,Portal,Unable to login to student portal,Medium,2.67,2.31,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0256,2026-07-14,Student,College of Food Science,Email,University email not working,Medium,3.02,4.44,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0257,2026-09-01,Staff,College of Engineering,Portal,Unable to login to student portal,Medium,2.28,9.33,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0258,2026-04-29,Postgraduate Student,Postgraduate School,Payment/Invoice,Receipt cannot be generated,Medium,1.89,44.08,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0259,2026-02-04,Staff,ICTREC,Payment/Invoice,Outstanding invoice still showing after payment,Low,5.01,1.59,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0260,2026-05-03,Staff,Library,Email,University email not working,High,1.58,9.51,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0261,2026-02-22,Staff,Library,Email,Unable to access staff email,Medium,1.04,36.45,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0262,2026-01-09,Postgraduate Student,College of Agricultural Management,Portal,Programme information not updating,High,1.04,7.33,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0263,2026-01-17,Postgraduate Student,College of Computing Sciences,Portal,Portal session keeps expiring,Medium,1.71,1.23,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0264,2026-01-19,Staff,Library,Portal,Programme information not updating,Low,1.55,2.24,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0265,2026-06-26,Student,ICTREC,Others,Other ICT service issue,Medium,3.0,15.95,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0266,2026-05-27,Postgraduate Student,College of Plant Science,Website/Multimedia,Website content correction request,Medium,3.69,42.95,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0267,2026-06-18,Student,College of Plant Science,Clearance,Clearance submission error,Low,3.66,1.29,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0268,2026-02-21,Staff,College of Food Science,Hardware,Scanner malfunction,Medium,1.82,25.89,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0269,2026-05-28,Staff,ICTREC,Software/MIS,MIS application not responding,High,0.93,6.66,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0270,2026-08-29,Student,Library,Registration,Unable to submit course registration,Low,6.61,1.95,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0271,2026-06-08,Postgraduate Student,Library,Payment/Invoice,Payment not reflecting on portal,Low,6.02,1.44,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0272,2026-08-25,Postgraduate Student,College of Food Science,Portal,Programme information not updating,Low,5.09,5.53,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0273,2026-08-27,Student,Library,Student Information,Biodata information needs correction,High,0.39,3.01,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0274,2026-05-04,Student,Library,ID Card,ID card printing problem,Medium,3.57,3.75,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0275,2026-07-08,Student,Academic Planning,Payment/Invoice,Receipt cannot be generated,Medium,3.19,3.71,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0276,2026-03-02,Student,College of Engineering,Software/MIS,Software installation request,Medium,2.73,6.68,Pending,No,Within 8 Hours,No,Fast (< 8 hrs)
HD0277,2026-04-12,Student,College of Agricultural Management,Email,Password reset required for email,Low,7.22,2.95,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0278,2026-07-09,Postgraduate Student,College of Veterinary Medicine,Internet/Network,Network connection unavailable,Low,4.58,2.55,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0279,2026-02-21,Postgraduate Student,College of Engineering,Registration,Registered course not displaying,Low,2.91,28.77,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0280,2026-07-19,Student,ICTREC,ID Card,Lost ID card replacement request,High,1.86,4.14,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0281,2026-04-10,Postgraduate Student,Library,Portal,Unable to login to student portal,Medium,3.05,49.97,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0282,2026-04-20,Postgraduate Student,College of Veterinary Medicine,ID Card,Unable to process ID card,Low,6.14,1.89,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0283,2026-04-25,Staff,Student Affairs,Email,University email not working,Medium,5.03,44.21,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0284,2026-03-10,Student,College of Plant Science,Portal,Portal page not loading,Low,1.24,17.23,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0285,2026-03-22,Staff,College of Animal Science,Payment/Invoice,Outstanding invoice still showing after payment,Low,1.36,2.39,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0286,2026-05-26,Postgraduate Student,ICTREC,Software/MIS,Application error during transaction,Low,3.84,10.9,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0287,2026-08-12,Student,College of Animal Science,ID Card,Unable to process ID card,Medium,3.11,43.58,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0288,2026-08-29,Student,ICTREC,Clearance,Clearance process showing incomplete,Medium,4.1,2.7,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0289,2026-02-10,Staff,Academic Planning,Email,Password reset required for email,Low,4.33,35.93,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0290,2026-06-27,Student,College of Environmental Resources,Payment/Invoice,Invoice not generated,Medium,1.15,19.93,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0291,2026-01-18,Student,Postgraduate School,Hardware,Desktop computer not starting,Medium,3.13,5.83,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0292,2026-04-16,Student,College of Engineering,Internet/Network,Intermittent network connectivity,High,2.12,34.03,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0293,2026-06-28,Student,College of Engineering,ID Card,ID card printing problem,High,1.66,6.4,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0294,2026-07-06,Student,Library,Payment/Invoice,Payment not reflecting on portal,Low,2.95,12.48,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0295,2026-01-31,Student,College of Computing Sciences,Payment/Invoice,Payment confirmation delayed,Medium,4.1,3.15,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0296,2026-05-26,Staff,College of Plant Science,Internet/Network,Intermittent network connectivity,Medium,2.7,9.96,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0297,2026-07-09,Postgraduate Student,College of Computing Sciences,Email,Password reset required for email,Medium,3.38,44.02,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0298,2026-03-14,Postgraduate Student,College of Plant Science,Others,Help needed with university application,Medium,4.6,2.85,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0299,2026-04-07,Student,Student Affairs,Registration,Course allocation not updating,Low,3.28,1.5,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0300,2026-02-08,Postgraduate Student,College of Animal Science,Internet/Network,Intermittent network connectivity,Medium,2.04,7.81,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0301,2026-08-03,Postgraduate Student,College of Agricultural Management,Student Information,Matriculation information issue,Medium,3.94,46.92,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0302,2026-04-16,Staff,College of Environmental Resources,Portal,Portal page not loading,Medium,4.19,18.24,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0303,2026-07-25,Staff,Postgraduate School,Admission,Admission application issue,Medium,3.26,16.56,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0304,2026-07-20,Postgraduate Student,Library,Portal,Programme information not updating,Critical,0.52,2.89,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0305,2026-01-22,Staff,Library,Student Information,Academic information not updated,High,0.56,39.42,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0306,2026-04-23,Student,Student Affairs,Registration,Registered course not displaying,Low,5.45,9.11,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0307,2026-08-15,Staff,College of Environmental Resources,Others,System access request,Medium,3.03,1.91,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0308,2026-02-01,Student,Postgraduate School,Email,Mailbox access problem,Medium,9.98,33.62,Pending,No,Beyond 8 Hours,No,Medium (8 hrs - 1 week)
HD0309,2026-07-27,Student,College of Environmental Resources,Payment/Invoice,Receipt cannot be generated,Critical,0.85,14.43,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0310,2026-06-30,Staff,Library,Portal,Programme information not updating,High,1.95,5.85,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0311,2026-01-11,Student,College of Veterinary Medicine,Registration,Registration page not responding,Medium,1.68,7.06,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0312,2026-07-24,Student,College of Food Science,Payment/Invoice,Invoice not generated,Medium,7.32,13.19,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0313,2026-07-31,Student,College of Food Science,Registration,Course allocation not updating,Medium,6.24,3.73,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0314,2026-07-13,Staff,College of Veterinary Medicine,Portal,Unable to login to student portal,Medium,1.51,3.66,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0315,2026-07-28,Student,College of Engineering,Internet/Network,Intermittent network connectivity,Medium,2.68,12.45,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0316,2026-08-19,Postgraduate Student,College of Veterinary Medicine,Internet/Network,Slow Internet connection,Medium,1.02,16.52,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0317,2026-07-27,Staff,Library,Email,Unable to access staff email,Low,3.48,1.89,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0318,2026-03-13,Postgraduate Student,Bursary,Portal,Student profile not displaying correctly,Medium,1.49,1.35,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0319,2026-05-02,Student,College of Agricultural Management,Registration,Registration page not responding,Medium,4.09,15.69,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0320,2026-06-26,Postgraduate Student,Postgraduate School,Software/MIS,Software installation request,High,0.74,3.69,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0321,2026-04-14,Staff,Registry,Portal,Portal page not loading,Medium,2.16,11.75,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0322,2026-08-28,Staff,College of Agricultural Management,Portal,Portal page not loading,Medium,2.25,1.5,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0323,2026-08-08,Postgraduate Student,Bursary,Others,System access request,Low,3.32,1.81,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0324,2026-05-28,Staff,College of Computing Sciences,Portal,Portal session keeps expiring,Low,0.86,2.09,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0325,2026-07-18,Student,College of Food Science,Registration,Course allocation not updating,Medium,2.29,16.96,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0326,2026-07-14,Student,College of Plant Science,Portal,Student profile not displaying correctly,Low,10.51,26.8,Pending,No,Beyond 8 Hours,No,Medium (8 hrs - 1 week)
HD0327,2026-08-03,Staff,Postgraduate School,Email,Mailbox access problem,High,1.29,37.92,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0328,2026-04-30,Staff,Registry,Registration,Registered course not displaying,Low,15.65,2.94,Closed,Yes,Beyond 8 Hours,No,Fast (< 8 hrs)
HD0329,2026-07-31,Student,College of Animal Science,Website/Multimedia,University webpage not updating,High,1.51,34.94,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0330,2026-02-26,Postgraduate Student,College of Veterinary Medicine,Website/Multimedia,Multimedia support request,Low,4.24,39.83,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0331,2026-03-20,Staff,College of Plant Science,Email,Unable to access staff email,Medium,1.9,3.21,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0332,2026-04-20,Staff,College of Veterinary Medicine,Student Information,Biodata information needs correction,Low,3.73,47.68,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
